inci_name,cas_number,einecs_number,function
TRIFOLIUM PRATENSE SYMBIOSOME EXTRACT,85085-25-2,285-356-7,"Antioxidant, Skin Conditioning"
TRIFOLIUM PRATENSE/VIGNA RADIATA) SPROUT EXTRACT,,,Antioxidant
TRIFOLIUM REPENS EXTRACT,89997-79-5,289-716-4,"Antioxidant, Skin Conditioning"
TRIFOLIUM REPENS SPROUT EXTRACT,,,Skin Conditioning
TRIGLYCERETH-7 CITRATE,,,"Humectant, Skin Conditioning"
TRIGONELLA FOENUM SYMBIOSOME EXTRACT,84625-40-1,283-415-1,"Antioxidant, Skin Conditioning"
TRIGONELLA FOENUM-GRAECUM FRUIT EXTRACT,84625-40-1,283-415-1,"Fragrance, Skin Conditioning"
TRIGONELLA FOENUM-GRAECUM HYDROXYPROPYLTRIMONIUM CHLORIDE,,,"Antistatic, Hair Conditioning, Skin Conditioning"
TRIGONELLA FOENUM-GRAECUM SEED EXTRACT,84625-40-1,283-415-1,"Perfuming, Skin Conditioning"
TRIGONELLA FOENUM-GRAECUM SEED OIL,84625-40-1,283-415-1,Perfuming
TRIGONELLA FOENUM-GRAECUM SPROUT JUICE,,,Skin Conditioning
TRIGONOTIS PEDUNCULARIS CALLUS EXTRACT,,,Skin Conditioning
TRIGONOTIS PEDUNCULARIS EXTRACT,,,Humectant
TRIHEPTANOIN,620-67-7,210-647-2,"Skin Conditioning, Surfactant - Cleansing, Viscosity Controlling"
TRIHEPTYLUNDECANOIN,105214-66-2,,"Refatting, Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRIHEXYLDECYL CITRATE,,,"Plasticiser, Skin Conditioning, Skin Conditioning - Emollient"
TRIHYDROXYAURONE,25078-14-2,,Skin Conditioning
TRIHYDROXYCHALCONE,961-29-5,,Skin Conditioning - Emollient
TRIHYDROXYDIHYDROCHALCONE,23130-26-9,,Skin Conditioning
TRIHYDROXYMETHOXYSTEARIN,,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIHYDROXYPALMITAMIDOHYDROXYPROPYL MYRISTYL ETHER,,,Skin Conditioning
TRIHYDROXYSTEARIN,139-44-6,205-364-6,"Skin Conditioning, Viscosity Controlling"
TRIISOCETYL CITRATE,93385-14-9,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIISODECYL TRIMELLITATE,36631-30-8,253-138-0,"Skin Conditioning, Skin Conditioning - Emollient"
TRIISONONANOIN,56554-53-1,260-257-1 / -,"Skin Conditioning, Viscosity Controlling"
TRIISOPALMITIN,68957-79-9,273-364-3,"Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRIISOPROPANOLAMINE,122-20-3,204-528-4,Buffering
TRIISOPROPYL CITRATE,74592-76-0,,Skin Conditioning - Emollient
TRIISOPROPYL TRILINOLEATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIISOSTEARIN,26942-95-0,248-122-5,"Skin Conditioning, Viscosity Controlling"
TRIISOSTEARIN PEG-6 ESTERS,,,"Skin Conditioning, Skin Conditioning - Emollient, Surfactant - Cleansing"
TRIISOSTEAROYL 3-GLYCERYL ASCORBATE,,,"Humectant, Skin Conditioning"
TRIISOSTEAROYL POLYGLYCERYL-3 DIMER DILINOLEATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIISOSTEARYL CITRATE,113431-54-2,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIISOSTEARYL TRILINOLEATE,103213-22-5,,"Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRIISOTRIDECYL TRIMELLITATE,72361-35-4,,Skin Conditioning
TRILACTIN,537-32-6,208-664-5,"Humectant, Moisturising, Skin Conditioning"
TRILANETH-4 PHOSPHATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying, Viscosity Controlling"
TRILAURETH-4 PHOSPHATE,31800-90-5,,"Surfactant - Cleansing, Surfactant - Emulsifying"
TRILAURETH-9 CITRATE,,,"Cleansing, Surfactant - Cleansing, Surfactant - Emulsifying"
TRILAURIN,538-24-9,208-687-0,"Skin Conditioning, Viscosity Controlling"
TRILAURYL CITRATE,65277-53-4,265-671-6,"Skin Conditioning, Skin Conditioning - Emollient"
TRILAURYL PHOSPHATE,682-49-5,211-665-3,"Plasticiser, Skin Conditioning, Surfactant - Cleansing"
TRILAURYLAMINE,102-87-4,203-063-4,Antistatic
TRILINOLEIC ACID,7049-66-3,,"Refatting, Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRILINOLEIN,537-40-6,208-666-6,"Skin Conditioning, Viscosity Controlling"
TRILINOLENIN,14465-68-0,238-457-5,"Refatting, Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRIMAGNESIUM PHOSPHATE,7757-87-1,231-824-0,"Anticaking, Bulking, Opacifying"
TRIMELLITIC ANHYDRIDE,552-30-7,,Not Reported
TRIMETHOXY-2-VINYLTETRAHYDROPYRAN,7392-19-0,230-983-3,Perfuming
TRIMETHOXYBENZYL ACETYLSINAPATE,1469299-98-6,,Bleaching
TRIMETHOXYBENZYLIDENE PENTANEDIONE,945558-97-4,,"Antioxidant, Chelating, Skin Protecting"
TRIMETHOXYCAPRYLYLSILANE,3069-40-7,221-338-7,"Binding, Smoothing"
TRIMETHOXYSILYL DIMETHICONE,472976-92-4,,Skin Conditioning
TRIMETHYL HYDROXYMETHYL CYCLOHEXANOL,195060-85-6,,Skin Conditioning
TRIMETHYL HYDROXYPENTYL ISOBUTYRATE,25265-77-4,246-771-9,Plasticiser
TRIMETHYL PENTANOL HYDROXYETHYL ETHER,68959-25-1,273-409-7,"Solvent, Viscosity Controlling"
TRIMETHYL PENTANYL DIISOBUTYRATE,6846-50-0,229-934-9,Plasticiser
TRIMETHYL PENTAPHENYL TRISILOXANE,3390-61-2,222-222-9,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYL PHYTOSPHINGOSINE IODIDE,,,"Hair Conditioning, Humectant, Skin Conditioning, Skin Protecting"
TRIMETHYL TRIFLUOROMETHYLINDOLINO PIPERIDINYLSPIRONAPHTHOOXAZINE,172208-34-3,,Colorant
"TRIMETHYL-1,3-CYCLOHEXADIENYLBUTAN-2-ONE",20483-36-7,243-847-3,Perfuming
"TRIMETHYL-1,3-PENTANEDIOL",144-19-4,205-619-1,Solvent
TRIMETHYL-1-CYCLOHEXENYLACRYLONITRILE,72214-33-6,276-488-6,Perfuming
TRIMETHYL-1-CYCLOHEXENYLBUTAN-2-ONE,17283-81-7,241-318-1,Perfuming
"TRIMETHYL-1-CYCLOHEXENYLBUTANE-1,3-DIONE",39900-12-4,254-692-6,Perfuming
"TRIMETHYL-2-CYCLOHEXENE-1,4-DIONE",1125-21-9,214-406-2,Perfuming
TRIMETHYL-2-CYCLOHEXENOL,470-99-5,207-433-6,Perfuming
TRIMETHYL-2-CYCLOHEXENYL-3-PENTANONE/2-PROPYNOL,68611-23-4,271-889-2,Perfuming
"TRIMETHYL-2-DECENE-6,8-DIONE",13851-06-4,237-584-3,Perfuming
TRIMETHYL-3-CYCLOHEXENE-1-METHANETHIOL,71159-90-5,275-223-1,Perfuming
TRIMETHYL-3-CYCLOHEXENYL-3-BUTEN-2-ONE,67801-39-2,267-159-8,Perfuming
TRIMETHYL-3-CYCLOPENTENYLACETONITRILE,15373-31-6,239-405-4,Perfuming
TRIMETHYL-3-METHYLVINYL-4-VINYLCYCLOHEXYLMETHYL ACETATE,84434-64-0,282-865-6,Perfuming
TRIMETHYL-3-NONENOL,93882-22-5,299-419-1,Perfuming
TRIMETHYL-3-PHENYLINDAN,3910-35-8,223-467-4,Perfuming
"TRIMETHYL-4,9-DECADIENAL",32803-39-7,251-227-9,Perfuming
TRIMETHYL-4-NONANONE,123-18-2,204-607-3,Perfuming
"TRIMETHYL-5,7-DECADIEN-2-ONE",67801-41-6,267-161-9,Perfuming
TRIMETHYL-6-METHYLENECYCLOHEXANEPROPANOL,13720-13-3,237-284-2,Perfuming
TRIMETHYL-6-METHYLENECYCLOHEXYLPROPYL ACETATE,68479-99-2,270-879-5,Perfuming
TRIMETHYL-6-THIABICYCLOOCTANE,68398-18-5,269-970-2,Perfuming
TRIMETHYL-7-OXABICYCLOHEPTYL)-3-BUTEN-2-ONE,23267-57-4,245-542-0,Perfuming
TRIMETHYL-8-METHYLENEBICYCLO-4-UNDECENE,118-65-0,204-267-6,Perfuming
TRIMETHYL-METHYLBUTENYL-BICYCLOHEPTAN-3-ONE,74499-58-4,277-895-1,Perfuming
TRIMETHYL-PENTYL-DIOXANE,63449-89-8,264-160-5,Perfuming
TRIMETHYL-PENTYLCYCLOPENTANONE,65443-14-3,265-779-3,Perfuming
TRIMETHYL-PROPYLCYCLOHEXANEPROPANOL,70788-30-6,274-892-7,Perfuming
TRIMETHYL-VINYLTETRAHYDROFURAN-2-METHANOL,5989-33-3,227-814-0,Perfuming
TRIMETHYLAMINE OXIDE,62637-93-8,214-675-6,"Fragrance, Humectant"
TRIMETHYLBENZENE,95-63-6,202-436-9,Solvent
TRIMETHYLBENZENEPROPANOL,103694-68-4,403-140-4,"Fragrance, Perfuming"
TRIMETHYLBENZOPHENONE,954-16-5,403-150-9,Light Stabilizer
TRIMETHYLBENZOYL DIPHENYLPHOSPHINE OXIDE,75980-60-8,278-355-8,Skin Conditioning
TRIMETHYLBENZYL ALCOHOL,1197-01-9,214-817-7,Perfuming
TRIMETHYLBICYCLO-2-HEPTANOL,512-13-0,208-135-9,Perfuming
TRIMETHYLBICYCLO-2-HEPTANONE,4695-62-9,225-160-0,Perfuming
TRIMETHYLBICYCLO-2-HEPTYLOXYETHANOL,7070-15-7,230-364-8,Perfuming
TRIMETHYLBICYCLO-3-HEPTEN-2-OL,473-67-6,207-470-8,Perfuming
TRIMETHYLBICYCLO-3-HEPTEN-2-ONE,18309-32-5,242-195-7,Perfuming
TRIMETHYLBICYCLO-3-HEPTYLACRYLONITRILE,68804-00-2,272-319-5,Perfuming
TRIMETHYLBICYCLO-4-HEPTEN-3-YLMETHANOL,15103-32-9,239-155-6,Perfuming
TRIMETHYLBICYCLO-4-HEPTEN-3-YLMETHYL ACETATE,15103-33-0,239-156-1,Perfuming
TRIMETHYLBICYCLOHEPT-2-YL PROPIONATE,20279-25-8,243-673-8,Perfuming
TRIMETHYLBICYCLOHEPT-3-YLIDENEPROPIONONITRILE,68804-02-4,272-321-6,Perfuming
TRIMETHYLBICYCLOHEPTANE,473-55-2,207-467-1 / 229-978-9,Perfuming
TRIMETHYLBICYCLOHEPTANE-2-METHANOL,66062-78-0,266-095-8,Perfuming
TRIMETHYLCYCLOHEXANEACETIC ACID,3213-73-8,221-727-1,Perfuming
TRIMETHYLCYCLOHEXANOL,116-02-9,204-122-7,Perfuming
TRIMETHYLCYCLOHEXENE-1-METHANOL,72812-40-9,276-861-3,Perfuming
TRIMETHYLCYCLOHEXYL ACRYLATE,86178-38-3,,Film Forming
TRIMETHYLCYCLOHEXYL BUTYLCARBAMATE,1228376-60-0,,Skin Conditioning
TRIMETHYLCYCLOHEXYLACETYL-CYCLOPENTANONE,84642-57-9,283-434-5,Perfuming
TRIMETHYLCYCLOPENTENYL DIMETHYLISOPENTENOL,107898-54-4,411-580-3,Perfuming
TRIMETHYLDECENEDIONE,13851-06-4,,"Bleaching, Chelating"
TRIMETHYLDODECATRIEN-3-YL ACETATE,2306-78-7,218-978-4,Perfuming
TRIMETHYLHEXAMETHYLENE DIISOCYANATE,15646-96-5,",",Not Reported
TRIMETHYLHEXANAL,5435-64-3,226-603-0,Perfuming
TRIMETHYLHEXANOL,3452-97-9,222-376-7,"Fragrance, Solvent"
TRIMETHYLHEXYL ACETATE,58430-94-7,261-245-9,Perfuming
TRIMETHYLHEXYL FORMATE,67355-38-8,266-661-4,Perfuming
TRIMETHYLHEXYL PROPIONATE,68991-95-7,273-659-7,Perfuming
TRIMETHYLINDOLINO PIPERIDINYLSPIRONAPHTHOOXAZINE,114747-45-4,601-321-4,Colorant
TRIMETHYLNORBORNAN-2-ONE,7787-20-4,232-107-5,Perfuming
TRIMETHYLOL PROPANE CYCLOHEXENE DICARBOXYLATE,,,Film Forming
TRIMETHYLOLPROPANE,77-99-6,201-074-9,"Humectant, Solvent"
TRIMETHYLOLPROPANE DIALLYL ETHER,682-09-7,211-661-1,Not Reported
TRIMETHYLOLPROPANE HYDROXYPROPYL BIS-HYDROXYETHYLAMINE DENDRIMER,,,"Chelating, Cleansing, Surfactant - Cleansing"
TRIMETHYLOLPROPANE TRIACRYLATE,15625-89-5,239-701-3,"Film Forming, Hair Conditioning, Hair Fixing"
TRIMETHYLOLPROPANE TRIACRYLATE/GLYCOL BISCROSSPOLYMER,,,Binding
TRIMETHYLOLPROPANE TRICAPRYLATE/TRICAPRATE,11138-60-6,234-392-1,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLOLPROPANE TRICOCOATE,85566-29-6,287-640-6,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLOLPROPANE TRIETHYLHEXANOATE,26086-33-9,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLOLPROPANE TRIISOSTEARATE,68541-50-4,271-347-5,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLOLPROPANE TRILAURATE,25268-73-9,246-777-1,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLOLPROPANE TRIMETHACRYLATE,3290-92-4,221-950-4,Film Forming
TRIMETHYLOLPROPANE TRIS-MERCAPTOPROPIONATE,33007-83-9,,Not Reported
TRIMETHYLOLPROPANE TRISTEARATE,15196-52-8,239-252-3,"Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLPENTADECATRIEN-2-ONE,762-29-8,212-097-9,Perfuming
TRIMETHYLPENTANEDIOL/ADIPIC ACID COPOLYMER,26139-53-7,,Skin Conditioning
TRIMETHYLPENTANEDIOL/ADIPIC ACID/GLYCERIN CROSSPOLYMER,,,Skin Conditioning
TRIMETHYLPENTANEDIOL/ADIPIC ACID/ISONONANOIC ACID COPOLYMER,200512-90-9,,Skin Conditioning
TRIMETHYLPENTANEDIOL/ISOPHTHALIC ACID/TRIMELLITIC ANHYDRIDE COPOLYMER,,,"Film Forming, Viscosity Controlling"
TRIMETHYLPENTANEDIYL DIBENZOATE,68052-23-3,268-316-3,Plasticiser
TRIMETHYLPENTYL POLYSILSESQUIOXANE,190732-67-3,,Nail Conditioning
TRIMETHYLPENTYL/METHOXY PEG-10 PROPYL POLYSILSESQUIOXANE,,,Not Reported
TRIMETHYLPHENETHYL ALCOHOL,20834-59-7,244-072-3,Perfuming
TRIMETHYLPYRAZINE,14667-55-1,238-712-0,Perfuming
TRIMETHYLSILOXY/POLYMETHYLSILSESQUIOXANE,,,"Anticaking, Binding, Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLSILOXYAMODIMETHICONE,,,Hair Conditioning
TRIMETHYLSILOXYPHENYL DIMETHICONE,73138-88-2,,Hair Conditioning
TRIMETHYLSILOXYSILICATE,,,"Antifoaming, Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLSILOXYSILICATE/DIMETHICONE CROSSPOLYMER,,,Antifoaming
TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER,,,"Film Forming, Viscosity Controlling"
TRIMETHYLSILOXYSILYL PROPYLCARBAMOYL HYDROLYZED VA/DIACETOXYBUTENE COPOLYMER,2030116-17-5,,Film Forming
TRIMETHYLSILOXYSILYLCARBAMOYL PULLULAN,,,"Film Forming, Hair Fixing"
TRIMETHYLSILYL ARGININE PG-PROPYL METHYLSILANEDIOL CROSSPOLYMER,,,"Hair Conditioning, Skin Conditioning"
TRIMETHYLSILYL HYDROLYZED COLLAGEN PG-PROPYL METHYLSILANEDIOL CROSSPOLYMER,,,"Hair Conditioning, Skin Conditioning"
TRIMETHYLSILYL HYDROLYZED CONCHIOLIN PROTEIN PG-PROPYL METHYLSILANEDIOL CROSSPOLYMER,,,"Hair Conditioning, Skin Conditioning"
TRIMETHYLSILYL HYDROLYZED PEA PROTEIN PG-PROPYL METHYLSILANEDIOL CROSSPOLYMER,,,"Hair Conditioning, Skin Conditioning"
TRIMETHYLSILYL HYDROLYZED SILK PG-PROPYL METHYLSILANEDIOL CROSSPOLYMER,,,"Hair Conditioning, Skin Conditioning"
TRIMETHYLSILYL HYDROLYZED WHEAT PROTEIN PG-PROPYL METHYLSILANEDIOL CROSSPOLYMER,,,"Hair Conditioning, Skin Conditioning"
TRIMETHYLSILYL PULLULAN,,,"Film Forming, Viscosity Controlling"
TRIMETHYLSILYL TRIMETHYLSILOXY GLYCOLATE,33581-77-0,251-580-9,Skin Conditioning
TRIMETHYLSILYL TRIMETHYLSILOXY LACTATE,17596-96-2,,Skin Conditioning
TRIMETHYLSILYL TRIMETHYLSILOXY SALICYLATE,3789-85-3,,Skin Conditioning
TRIMETHYLSILYLAMODIMETHICONE,,,"Antistatic, Skin Conditioning, Skin Conditioning - Emollient"
TRIMETHYLTRICYCLODODECANOL,472-97-9,207-458-2,Perfuming
TRIMETHYLTRICYCLODODECANYL ACETATE,57082-24-3,260-555-1,Perfuming
TRIMETHYLTRICYCLODODECANYL FORMATE,58096-46-1,261-117-2,Perfuming
TRIMETHYLUNDECADIENAL,24048-13-3,245-999-6,Perfuming
TRIMETHYLUNDECADIENOL,24048-14-4,246-000-6,Perfuming
TRIMETHYLUNDECENAL,141-13-9,205-460-8,Perfuming
TRIMYRISTIN,555-45-3,209-099-7,"Skin Conditioning, Viscosity Controlling"
TRIOCTYLDODECYL BORATE,,,Antimicrobial
TRIOCTYLDODECYL CITRATE,126121-35-5,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIOLEIN,122-32-7,204-534-7,"Skin Conditioning, Viscosity Controlling"
TRIOLEIN PEG-6 ESTERS,,,"Skin Conditioning, Skin Conditioning - Emollient, Surfactant - Cleansing, Surfactant - Emulsifying"
TRIOLETH-8 PHOSPHATE,56565-66-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
TRIOLEYL CITRATE,175831-77-3,,"Plasticiser, Skin Conditioning, Skin Conditioning - Emollient"
TRIOLEYL PHOSPHATE,3305-68-8,221-983-4,"Plasticiser, Skin Conditioning, Skin Conditioning - Emollient"
TRIOXAUNDECANEDIOIC ACID,13887-98-4,237-655-9,Humectant
TRIPABA PANTHENOL,,,"Antistatic, Hair Conditioning, Uv Absorber"
TRIPALMITIN,555-44-2,209-098-1,"Skin Conditioning, Viscosity Controlling"
TRIPALMITOLEIN,20246-55-3,,"Refatting, Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRIPELARGONIN,126-53-4,204-791-5,"Skin Conditioning, Skin Conditioning - Emollient"
TRIPEPTIDE-1,,,"Skin Conditioning, Skin Protecting"
TRIPEPTIDE-1 DIMETHYLAMINOETHYL ESTER,,,"Bleaching, Skin Conditioning, Skin Protecting"
TRIPEPTIDE-10,,,Skin Conditioning
TRIPEPTIDE-10 CITRULLINE,,,Skin Conditioning
TRIPEPTIDE-11,,,Skin Conditioning
TRIPEPTIDE-12,,,Skin Conditioning
TRIPEPTIDE-13,,,Skin Conditioning
TRIPEPTIDE-14,,,Skin Conditioning
TRIPEPTIDE-15,,,Skin Conditioning
TRIPEPTIDE-16,,,Skin Conditioning
TRIPEPTIDE-17,,,Skin Conditioning
TRIPEPTIDE-18,,,Skin Conditioning
TRIPEPTIDE-19,,,Skin Conditioning
TRIPEPTIDE-2,,,Skin Conditioning
TRIPEPTIDE-20,,,Skin Conditioning
TRIPEPTIDE-21,,,Skin Conditioning
TRIPEPTIDE-22,,,Skin Conditioning
TRIPEPTIDE-23,,,Skin Conditioning
TRIPEPTIDE-24,,,Skin Conditioning
TRIPEPTIDE-25,,,Skin Conditioning
TRIPEPTIDE-26,,,Skin Conditioning
TRIPEPTIDE-27,,,Skin Conditioning
TRIPEPTIDE-28,,,Skin Conditioning
TRIPEPTIDE-29,,,Skin Conditioning
TRIPEPTIDE-3,,,Skin Conditioning
TRIPEPTIDE-30,,,Skin Conditioning
TRIPEPTIDE-31,,,Skin Conditioning
TRIPEPTIDE-32,,,Skin Conditioning
TRIPEPTIDE-33,,,Skin Conditioning
TRIPEPTIDE-34,,,Skin Conditioning
TRIPEPTIDE-35,,,Skin Conditioning
TRIPEPTIDE-36,,,Skin Conditioning
TRIPEPTIDE-37,,,Skin Conditioning
TRIPEPTIDE-38,,,Skin Conditioning
TRIPEPTIDE-39,,,Skin Conditioning
TRIPEPTIDE-4,,,Skin Conditioning
TRIPEPTIDE-40,,,Skin Conditioning
TRIPEPTIDE-41,,,Skin Conditioning
TRIPEPTIDE-42,,,Skin Conditioning
TRIPEPTIDE-43,,,Skin Conditioning
TRIPEPTIDE-44,,,Skin Conditioning
TRIPEPTIDE-45,,,Skin Conditioning
TRIPEPTIDE-46,,,Skin Conditioning
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 ISOLEUCYL OLIGOPEPTIDE-91 TETRAPEPTIDE-38 SH- POLYPEPTIDE-9,,,"Hair Conditioning, Skin Conditioning, Skin Protecting"
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-133,,,Skin Conditioning
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-2,,,Skin Conditioning
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-2 DIPEPTIDE-34 SH-POLYPEPTIDE-11 DIPEPTIDE-19 OLIGOPEPTIDE-91,,,Skin Conditioning
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-85 DIPEPTIDE-34 OLIGOPEPTIDE-91,,,Hair Conditioning
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-91 TETRAPEPTIDE-38 SH-OLIGOPEPTIDE-1,,,Skin Conditioning
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-60 TETRAPEPTIDE-48,,,"Hair Conditioning, Skin Conditioning, Skin Protecting"
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 OLIGOPEPTIDE-91 SH-POLYPEPTIDE-60,,,"Hair Conditioning, Skin Conditioning, Skin Protecting"
TRIPEPTIDE-46 HEXAPEPTIDE-40 OLIGOPEPTIDE-96 OLIGOPEPTIDE-91 TETRAPEPTIDE-38 RH-POLYPEPTIDE-9,,,"Hair Conditioning, Skin Conditioning"
TRIPEPTIDE-47,,,"Anti-Sebum, Skin Protecting"
TRIPEPTIDE-48,,,"Anti-Sebum, Skin Protecting"
TRIPEPTIDE-49,,,Skin Conditioning
TRIPEPTIDE-49 OLIGOPEPTIDE-91 DIPEPTIDE-19 R-BOVINE OCTAPEPTIDE-1,,,Skin Conditioning
TRIPEPTIDE-49 OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-1,,,Skin Conditioning
TRIPEPTIDE-49 OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-3,,,Skin Conditioning
TRIPEPTIDE-5,,,Skin Conditioning
TRIPEPTIDE-50,,,Skin Conditioning
TRIPEPTIDE-51,,,"Antimicrobial, Antioxidant, Astringent, Humectant, Skin Conditioning, Skin Protecting"
TRIPEPTIDE-52,,,Skin Conditioning
TRIPEPTIDE-53,,,Skin Conditioning
TRIPEPTIDE-54,,,Skin Conditioning
TRIPEPTIDE-55,,,"Antioxidant, Skin Protecting"
TRIPEPTIDE-56,,,Skin Conditioning
TRIPEPTIDE-57,,,Skin Conditioning
TRIPEPTIDE-58,,,Skin Conditioning
TRIPEPTIDE-59,,,Skin Conditioning
TRIPEPTIDE-6,,,Skin Conditioning
TRIPEPTIDE-60,,,Skin Conditioning
TRIPEPTIDE-61,,,Skin Conditioning
TRIPEPTIDE-62,,,"Antioxidant, Antiplaque, Oral Care, Skin Protecting"
TRIPEPTIDE-63,,,Skin Conditioning
TRIPEPTIDE-64,,,Skin Conditioning
TRIPEPTIDE-65,,,Skin Conditioning
TRIPEPTIDE-65 DIMER,,,Skin Conditioning
TRIPEPTIDE-66,,,"Antioxidant, Antiplaque, Hair Conditioning, Nail Conditioning, Skin Protecting"
TRIPEPTIDE-67,,,"Antioxidant, Antiplaque, Skin Conditioning, Skin Protecting"
TRIPEPTIDE-68,,,Skin Conditioning
TRIPEPTIDE-69,,,"Humectant, Skin Conditioning"
TRIPEPTIDE-7,,,Skin Conditioning
TRIPEPTIDE-7 SH-DECAPEPTIDE-9,,,Skin Protecting
TRIPEPTIDE-7 SH-PENTAPEPTIDE-19,,,Skin Conditioning
TRIPEPTIDE-70,,,Not Reported
TRIPEPTIDE-71,,,Skin Conditioning
TRIPEPTIDE-72,,,Skin Conditioning
TRIPEPTIDE-73,,,Skin Conditioning
TRIPEPTIDE-74,,,Skin Conditioning
TRIPEPTIDE-75,,,Not Reported
TRIPEPTIDE-76,,,Not Reported
TRIPEPTIDE-77 VALINAMIDE,,,"Antimicrobial, Antioxidant, Skin Conditioning, Skin Conditioning - Emollient"
TRIPEPTIDE-78,,,Not Reported
TRIPEPTIDE-79,,,Hair Conditioning
TRIPEPTIDE-8,,,Skin Conditioning
TRIPEPTIDE-80,,,Hair Conditioning
TRIPEPTIDE-81,,,Skin Conditioning - Miscellaneous
TRIPEPTIDE-9,,,Skin Conditioning
TRIPEPTIDE-9 CITRULLINE,,,Skin Conditioning
TRIPHENYL DIMETHYLVINYL DISILOXANE,,,Not Reported
TRIPHENYL PHOSPHATE,115-86-6,204-112-2,Plasticiser
TRIPHENYL TRIMETHICONE,,,"Antifoaming, Skin Conditioning, Skin Conditioning - Emollient"
TRIPHENYLPHOSPHINE,603-35-0,210-036-0,Nail Conditioning
TRIPLEUROSPERMUM MARITIMUM EXTRACT,91722-41-7,294-439-7,"Hair Conditioning, Skin Protecting"
TRIPOTASSIUM EDTA,17572-97-3,241-543-5,Chelating
TRIPOTASSIUM GLYCYRRHIZATE,,,Skin Conditioning
TRIPOTASSIUM PHOSPHATE,7778-53-2,231-907-1,Buffering
TRIPOTASSIUM URSOLYL PHOSPHATE,,,Skin Conditioning - Emollient
TRIPROPYLENE GLYCOL,24800-44-0,246-446-0,"Antioxidant, Emulsion Stabilising, Humectant"
TRIPROPYLENE GLYCOL ACRYLATE,42978-66-5,,Nail Conditioning
TRIPROPYLENE GLYCOL CITRATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
TRIPROPYLENE GLYCOL DIACRYLATE,42978-66-5,,Plasticiser
TRIPTERYGIUM WILFORDII CALLUS EXTRACT,,,Skin Conditioning
TRIPTERYGIUM WILFORDII ROOT EXTRACT,,,Skin Conditioning
TRIRICINOLEIN,2540-54-7,219-817-0,"Refatting, Skin Conditioning, Skin Conditioning - Emollient, Viscosity Controlling"
TRIS BUFFERED SALINE,,,Buffering
TRIS(ACETIMINOACETOXYETHOXY METHACRYLATE) PPG-6 TRIMETHYLOLPROPANE,,,"Binding, Film Forming"
TRIS(N-HYDROXYETHYL) HEXAHYDROTRIAZINE,4719-04-4,225-208-0,"Skin Conditioning, Skin Protecting"
TRIS(N-HYDROXYETHYL)HEXAHYDROTRIAZINE,4719-04-4,225-208-0 (I),Preservative
TRIS(N-HYDROXYPROPYL) HEXAHYDROTRIAZINE,25254-50-6,,Antimicrobial
